"sample_submitter_id","MUC1","MUC12","MUC12-AS1","MUC13","MUC15","MUC16","MUC17","MUC19","MUC2","MUC20","MUC20-OT1","MUC20P1","MUC21","MUC22","MUC3A","MUC4","MUC5AC","MUC5B","MUC5B-AS1","MUC6","MUC7","MUCL1","MUCL3"
"TCGA-CM-4743-01A",67.1866,1.6535,0.8877,851.5343,0,1.7178,0.1426,0.0025,21.3343,7.7679,2.3978,1.1183,0.0953,0,19.5099,18.2421,249.3257,192.9625,0,1.1732,0,0.0182,5.253
"TCGA-D5-6931-01A",165.0898,15.896,1.6784,388.231,0,0.0097,49.1761,0,346.2662,18.1964,4.3666,5.1334,0.0225,0,12.4229,21.9875,13.5607,221.2998,0,0.2125,0,0.043,0.1653
"TCGA-AD-A5EK-01A",5.1828,261.3444,17.8956,501.1225,0,0.0029,2.2932,0.0021,133.9498,23.9092,3.0734,2.3374,0,0,83.5703,0.2953,0.1343,62.0408,0,0.1801,0,0,0.0223
"TCGA-A6-2680-01A",176.1161,35.3551,1.7437,545.8315,0,0.0291,55.371,0.0144,295.6445,19.9293,2.2017,8.026,0.0374,0,55.4982,11.7282,0.1058,3.7624,0,0.4878,0,1.1438,0.1999
"TCGA-G4-6625-01A",51.9017,60.419,4.5557,629.2292,0,0.0114,1.0095,0,330.7394,24.1885,5.6406,21.7338,0,0,40.7445,11.6193,1.2916,30.0624,0,0.262,0,0.0718,0
"TCGA-AA-A00O-01A",3.679,2.9606,4.2968,507.3782,0,0.0061,0.7325,0,1.7842,11.6088,5.5265,16.8155,11.9522,0,39.0729,0.3392,0.2236,1.208,0,1.4667,0,0.1694,0.1421
"TCGA-G4-6298-01A",60.2524,1.4312,2.0629,495.2044,0,0.0249,0.0571,0.0028,2.8568,38.3029,3.0247,16.0927,0,0,36.3447,1.8174,0.6496,4.1444,0,0.0299,0,0.0423,0.0296
"TCGA-AA-3842-01A",128.7203,1.545,7.5029,568.5107,0,0,89.4026,0,122.807,27.6917,1.8074,15.7531,0,0,31.4407,8.7887,0.7146,7.3477,0,0.2714,0,0,0
"TCGA-RU-A8FL-01A",116.6969,29.4993,1.7402,535.1498,0.018,0,0.1183,0,1.6317,18.3551,2.3086,7.7037,0.1867,0,34.3527,0.8209,0.0959,105.512,0,0.0382,0,0,0.0113
"TCGA-A6-3809-01B",46.1158,1.917,0,96.2969,0.0225,0.1049,50.4388,0.0082,148.001,1.2509,4.2316,0.5763,0,0,23.6407,43.0238,3.3758,6.321,0,0.9849,0,0.0813,0.0568
"TCGA-AM-5820-01A",1.7654,7.5903,1.2563,750.7336,0,0.0017,4.534,0,4.0482,9.7438,1.8304,6.6959,0,0,41.4587,0.0625,0.0628,0.0786,0,0.026,0.2089,0,0.1029
"TCGA-G4-6586-01A",476.2783,2.8709,5.2389,1387.8931,0,0.0141,62.1012,0,153.2661,25.7339,3.451,5.6499,0,0,44.2347,10.6832,0.2681,20.2483,0,1.2064,0,0,0.1453
"TCGA-CK-4951-01A",436.0054,31.8348,1.2378,629.9993,0,0.227,0.4029,0.0171,831.744,18.8628,2.9698,9.6706,0,0,51.8534,33.0298,0.6785,1.632,0,1.4478,0,0,0.0887
"TCGA-AA-3660-01A",181.1045,41.5552,4.3602,835.506,0.0215,0.0246,2.7464,0,129.8925,49.4285,3.8317,21.1719,5.0651,0,29.6951,6.7829,2.5471,12.0185,0,0.0914,0,11.7356,0.0272
"TCGA-DM-A28E-01A",18.0056,151.0936,10.13,794.086,0,0.0031,3.2831,0,49.0235,11.2164,5.2516,14.9292,0,0,48.4553,0.9382,0.0197,28.701,0,0.0407,0,0.0346,0.0242
"TCGA-AY-A71X-01A",61.4891,33.1618,3.6775,910.0561,0,0,28.7882,0.0054,1272.996,40.5776,2.4481,14.35,0,0,34.5653,48.8188,7.3313,2.0148,0,0.7539,0.0191,0.2019,0.1694
"TCGA-AA-3966-01A",227.5585,1.0603,3.4329,1679.8059,0,0.0584,0.317,0,437.3098,12.7213,1.74,4.5048,0.0614,0,19.6268,2.7085,2.8161,158.353,0,0.5105,0,1.1142,0.2869
"TCGA-AA-A029-01A",29.1336,4.384,35.7732,679.5013,0,0.0699,222.5764,0,2226.2057,13.375,2.54,6.6899,0,0,38.463,1.8227,0.2196,33.9516,0,0.2119,0,0,0
"TCGA-NH-A6GA-01A",59.4316,0.3931,2.068,713.1204,0,0.0916,54.8289,0,34.6947,36.9028,5.2092,6.9368,0.0683,0,13.0725,8.2604,93.653,80.2556,0,0.6906,0.4165,0.0163,1.0029
"TCGA-CM-6162-01A",459.7064,78.232,2.919,1099.1336,0,0.0058,31.9446,0,647.5027,6.69,1.8468,15.7598,0,0,27.1201,52.5608,55.7808,13.5974,0,0.1207,0.0303,0.0214,0.5527
"TCGA-AA-3955-01A",41.001,74.7882,1.609,633.5856,0,0,0.9211,0.0074,65.7082,15.4847,2.7287,8.4456,0,0,21.6064,2.6064,1.0384,30.5282,0,0.2328,0,0.1099,0
"TCGA-AZ-4615-01A",308.4318,0.4949,9.0158,613.8589,0.0353,0.433,51.2486,0,86.9956,47.378,1.855,5.6488,0.0334,0,32.0329,6.4889,0.1523,4.6945,0,0.5248,0,0,0.1114
"TCGA-A6-5667-01A",13.1125,28.2778,0.7754,749.8931,0,0.0072,0.0966,0,1.1522,37.4902,2.34,18.596,0.0208,0,73.7624,1.0396,0.0181,0.4284,0,0.0374,0,0.0199,0.0139
"TCGA-AA-3529-01A",46.1412,72.3117,4.5284,416.1224,2.4757,0.0306,1.7219,0.0114,753.6392,31.8828,1.7994,8.4772,0.0883,0,18.2165,20.8033,12.7046,47.0813,0,0.3177,0,0.5485,0
"TCGA-A6-6142-01A",27.3579,37.1358,1.4272,1868.5726,0.4858,0.0066,0.7248,0.0033,18.2583,49.1907,2.2829,74.1055,0.1531,0,43.1209,1.3632,0.0777,1.8167,0,0.5966,0.0692,0.9995,0.017
"TCGA-AA-3673-01A",86.4674,12.2673,6.3885,589.7575,0,0.0081,2.5418,0,192.1219,20.2598,1.6923,14.07,0.0312,0,30.7189,10.0472,4.9787,91.6436,0,0.2521,0,2.3513,0
"TCGA-A6-A565-01A",241.1408,128.9304,22.1692,1040.94,0.0269,0.0132,10.2787,0.0065,1416.0789,42.6895,11.4739,5.7441,0,0,39.8758,57.253,7.1126,200.5342,0,0.0915,0,0.0608,0.0849
"TCGA-AZ-6606-01A",226.1809,9.2886,1.8641,742.6239,0,0.0016,38.9044,0.0515,35.1846,38.8277,3.3154,14.3687,0,0,37.6442,26.1824,3.3797,18.1529,0,2.0434,0,3.1784,0.2549
"TCGA-4N-A93T-01A",198.6651,4.7452,3.8014,845.7903,0,0.0041,0.1944,0,38.1926,90.0121,6.1099,27.6633,0,0,31.3509,92.4368,0.0887,0.4607,0,0.2116,0,0,0
"TCGA-DM-A1D9-01A",25.3758,7.7373,1.458,257.8402,0,0.0097,0.0202,0.0014,125.7288,21.7974,5.2913,8.9061,0.067,0,11.5858,1.8671,0.1288,0.0889,0,0.1909,0.0151,0.0961,0.0149
"TCGA-DM-A1D6-01A",38.9133,27.5419,3.6745,820.132,0,0.0018,0.6455,0,3324.5863,12.2723,2.4017,23.0042,0,0,168.4728,14.8915,4.2924,41.8757,0,0.1073,0,0.0198,0.0069
"TCGA-CM-6677-01A",71.8063,4.5122,1.079,291.5359,0,0.01,7.2632,0,111.0842,10.2133,1.6158,13.332,0,0,18.7773,4.2359,1.3214,73.6163,0,0.1041,0,0.0553,0.0193
"TCGA-CM-5861-01A",627.8867,0.4282,0.7616,934.0637,0,0,3.4526,0,1016.8276,9.5204,0.6575,1.9065,0.1362,0,57.3984,82.0516,159.2183,1254.3104,0,36.7702,0,0.026,1.9278
"TCGA-AA-3939-01A",38.2016,2.4275,5.4931,230.7895,0.0416,0.0102,2.9316,0,29.934,14.4534,1.4567,4.8795,0,0,13.0527,2.2406,0.0769,1.0579,0,0.0177,0,1.0885,0
"TCGA-CK-4947-01B",227.6332,5.7683,0.8746,576.3087,0.0198,0.0032,91.6985,0.0048,415.0743,30.5602,2.5403,31.7385,0,0,10.9757,16.6044,0.4243,23.3457,0,0.0675,0,0,0.0125
"TCGA-DM-A288-01A",113.0985,2.4964,4.1077,1451.9041,0,0,1.2696,0,683.3338,35.8551,13.5143,18.9598,0,0,71.2586,10.4185,0.0504,7.4374,0,0.0209,0,0,0.0465
"TCGA-AA-A02F-01A",31.2759,20.74,3.104,440.7266,0.8609,0.0256,0.4108,0,40.3589,14.2074,4.3389,5.3474,0,0,27.0368,0.7612,0.2253,1.985,0,1.9463,0.0502,0.1767,0
"TCGA-CA-6718-01A",344.9309,0.0624,0,262.3508,0,1.3473,0.0883,0,2.9513,4.2962,1.9725,2.5431,0,0,0.549,5.8941,1.7534,78.9068,0,0.1085,0.0273,0,0.0806
"TCGA-A6-2675-01A",62.7954,82.165,3.186,1134.0991,0,0.0718,1.576,0,615.8458,20.8356,1.9315,1.654,0,0,30.4135,23.2205,3.0205,78.8369,0,0.0439,0,0.0466,0.0163
"TCGA-D5-6535-01A",149.2587,17.6956,2.7196,1074.7913,0,0.0144,222.541,0.0027,22.2202,43.4342,5.0046,9.224,0.0208,0,67.4766,14.6947,0.1359,12.9022,0,0.3092,0,0.0199,0.0139
